A,B
43.32896,0.24545
42.77419,0.17679
42.49316,0.05383
42.94092,0.03023
42.53794,0.05073
42.97453,0.09424
42.60063,0.17923
43.24299,0.15699
42.59860,0.03332
42.46524,0.15740
43.46676,0.20986
42.78628,0.04282
43.07690,0.08373
42.46310,0.22184
42.56917,0.06553
42.51944,0.10028
42.79810,0.15557
42.05927,0.09632
43.25239,0.03989
42.20292,0.34832
44.17511,0.27409
42.71012,0.42971
42.68983,0.40057
42.50119,0.06470
42.85803,0.29773
43.04988,0.10007
42.98457,0.03129
42.53414,0.15492
42.60624,0.08046
42.71966,0.04168
42.34346,0.31333
42.67943,0.15360
42.52063,0.02906
42.55448,0.06642
42.22238,0.06254
42.53414,0.07527
42.31086,0.22575
42.33134,0.23949
42.64806,0.07605
43.01677,0.10380
42.68640,0.10726
43.10906,0.00894
42.94242,0.13762
42.95855,0.29199
42.99467,0.05072
42.96763,0.01560
42.07823,0.36898
42.26986,0.06019
42.46464,0.04821
42.82392,0.15368
42.88789,0.16058
42.22354,0.07947
42.74993,0.07980
42.63238,0.07551
43.42872,0.28526
43.11371,0.09913
43.12829,0.20865
42.77936,0.11372
43.46437,0.03590
42.66776,0.12068
43.06504,0.08446
42.62014,0.09641
42.65596,0.15502
42.77973,0.04766
43.13841,0.03897
43.29014,0.19672
42.56854,0.13724
42.33321,0.12489
42.37821,0.61519
41.91246,0.33865
42.10484,0.36015
42.66324,0.06324
42.58026,0.08254
42.28675,0.05627
42.41024,0.13096
42.71884,0.05228
42.63816,0.09341
42.27794,0.16904
42.67026,0.03243
42.11144,0.29711
