A,B
43.40307,0.01356
42.88364,0.02773
42.96359,0.02282
43.16836,0.01135
43.45705,0.05256
42.68371,0.03859
43.23716,0.01932
43.23716,0.02607
42.99633,0.02947
42.74858,0.05156
42.96205,0.04796
43.15557,0.02034
42.93223,0.04024
43.45330,0.00782
42.80388,0.05925
42.61017,0.04559
42.98336,0.05284
43.26494,0.01396
43.38464,0.02000
42.59487,0.04498
42.63465,0.05370
42.81970,0.07664
42.33877,0.05550
43.42820,0.02696
42.99291,0.03258
43.95267,0.01501
43.00252,0.04319
42.81552,0.06314
42.91650,0.03367
42.88055,0.04370
43.17620,0.04044
43.34918,0.00694
42.99591,0.02777
42.67819,0.06433
42.87405,0.04017
42.82767,0.04531
43.02815,0.03076
43.10245,0.03047
42.22104,0.18648
42.48675,0.05288
42.92635,0.03994
42.99379,0.03633
43.10417,0.05013
43.11582,0.06284
43.09889,0.02037
43.71762,0.01524
43.36264,0.02297
43.46540,0.03349
43.07342,0.02294
43.31099,0.01614
42.89897,0.02737
43.47677,0.01608
43.09807,0.03348
43.30349,0.01706
43.27955,0.03268
43.02225,0.02883
43.17504,0.02734
42.10240,0.07740
42.55260,0.03241
43.10894,0.04053
43.42597,0.01934
42.34814,0.11074
42.67153,0.05331
43.02249,0.03070
42.99758,0.03331
42.79588,0.12784
42.95531,0.08246
42.97747,0.03709
43.37527,0.01652
43.20201,0.03994
42.73059,0.05320
43.06928,0.01826
42.78089,0.06603
42.88707,0.06603
43.05763,0.04889
42.56775,0.04659
42.90808,0.03731
42.80545,0.06724
43.32544,0.02622
42.78329,0.04193
42.81910,0.05024
43.24706,0.02583
43.23054,0.01998
42.79880,0.07855
43.06437,0.03966
42.75987,0.14811
42.79383,0.14811
43.66837,0.03133
42.68648,0.05062
42.38523,0.06593
42.91559,0.03579
43.06190,0.04259
