A,B
42.26057,0.19560
41.77629,0.06768
41.71549,0.11205
41.18078,0.13735
42.12107,0.07241
42.05108,0.28526
41.75146,0.23350
42.05108,0.28526
41.75146,0.23350
42.27146,0.02712
41.86849,0.18178
42.36900,0.17968
42.20851,0.02880
41.59024,0.10775
42.14885,0.06320
41.85274,0.04407
41.22986,0.15840
42.19560,0.15208
41.26026,0.38492
41.90872,0.03232
41.46316,0.13624
42.01054,0.23512
41.62996,0.21738
41.89955,0.30113
41.72696,0.18487
41.63567,0.23349
41.03894,0.23330
41.86565,0.02932
41.63610,0.21749
40.86044,0.18184
41.51476,0.06788
41.74407,1.14969
41.82133,0.20259
40.68333,0.37234
40.86122,0.50336
42.45178,0.07485
40.90548,0.22222
42.26538,0.01652
42.12025,0.09030
41.94719,0.07259
41.81223,0.03382
41.59778,0.03184
40.75320,0.14311
41.60521,0.19287
41.95696,0.11435
41.90367,0.02001
41.83543,0.12187
42.34942,0.03403
42.26263,0.06210
41.70028,0.63226
41.54967,0.47981
42.27398,0.09668
41.72772,0.10874
42.22803,0.04792
41.29200,0.17244
41.82570,0.16254
41.51603,0.12163
42.73611,0.01900
41.45944,0.22923
41.37077,0.24677
41.47399,0.19028
41.72148,0.47989
41.44395,0.05770
42.11013,0.02122
41.75123,0.10492
41.68625,0.07104
42.28107,0.04101
40.65519,0.69292
41.50676,0.08995
41.59405,0.09173
41.85345,0.15479
