A,B
42.46937,0.13746
42.14843,0.23942
42.26489,0.03023
42.23722,0.03096
41.93680,0.03699
42.56680,0.04180
42.09058,0.18655
42.77714,0.00557
41.67878,0.08034
42.64946,0.01605
42.07596,0.04876
42.64170,0.02703
42.35470,0.01506
41.79072,0.08849
42.43821,0.07456
41.49444,0.09617
41.62131,0.08860
42.24820,0.08226
42.40217,0.01159
41.99311,0.08356
41.82681,0.26685
42.10764,0.20778
42.00149,0.07089
41.47306,0.46921
42.42153,0.01914
42.32945,0.08830
41.22119,0.13362
41.89582,0.09007
41.85748,0.21815
42.92163,0.07052
42.36641,0.00949
41.82378,0.09043
41.53349,0.06142
42.01386,0.02993
41.86658,0.25604
41.64106,0.09168
42.85326,0.02231
41.57529,0.16511
"42.74552

",0.00894
41.89148,0.11234
42.35133,0.05329
42.24738,0.00875
42.12112,0.02116
41.32674,0.04245
42.10446,0.07863
42.44759,0.07074
42.41232,0.01235
42.42352,0.02037
42.75009,0.01534
42.49940,0.05416
41.63015,0.27578
42.17727,0.22154
42.71115,0.03544
42.28624,0.07592
42.75240,0.02366
41.54856,0.12281
42.34606,0.04680
42.01922,0.05928
43.19707,0.00940
42.01806,0.08372
41.72686,0.07665
41.23371,0.62994
41.78927,0.04144
42.62721,0.00906
41.27474,0.22342
41.97106,0.05675
42.12706,0.03836
42.08910,0.13204
